Date,Source,Headline,Summary,Keywords,URL,Relevance_Score
2026-02-28,STAT News,Medicare Finalizes Expanded Telehealth Coverage Through 2028,CMS announced permanent telehealth flexibilities for mental health services including audio-only visits and removal of geographic restrictions for behavioral health.,telehealth;Medicare;CMS;policy;audio-only,https://www.statnews.com/2026/02/28/medicare-telehealth-expansion,0.95
2026-02-25,Modern Healthcare,Major Insurers Report 40% Increase in Mental Health Claims Since 2023,Analysis of claims data from UnitedHealthcare Aetna and Cigna reveals continued growth in mental health utilization particularly among 18-34 age group.,insurance;utilization;claims;payer;mental health demand,https://www.modernhealthcare.com/2026/02/25/insurer-mental-health-claims,0.92
2026-02-22,The New York Times,Surgeon General Issues Advisory on Youth Social Media and Mental Health,New advisory calls for warning labels on social media platforms citing evidence linking heavy use to anxiety and depression in adolescents.,youth mental health;social media;Surgeon General;adolescents;policy,https://www.nytimes.com/2026/02/22/health/surgeon-general-social-media,0.78
2026-02-20,Behavioral Health Business,Cerebral Reaches $15M Settlement in DOJ Investigation,Digital mental health company Cerebral agreed to settlement over allegations of improper prescribing practices and inadequate clinical oversight of telehealth prescribers.,Cerebral;DOJ;prescribing;compliance;telehealth regulation,https://www.bhbusiness.com/2026/02/20/cerebral-doj-settlement,0.93
2026-02-18,JAMA Psychiatry,Large RCT Shows Measurement-Based Care Improves Depression Outcomes by 30%,Multi-site randomized trial (N=4200) demonstrates that systematic use of PHQ-9 with clinical decision support significantly improves outcomes versus treatment as usual.,measurement-based care;PHQ-9;RCT;depression;clinical decision support,https://jamanetwork.com/journals/jamapsychiatry/2026/02/18/mbc-trial,0.97
2026-02-15,TechCrunch,Headway Competitor Alma Raises $130M Series D at $1.2B Valuation,Therapist-focused platform Alma secured new funding to expand insurance partnerships and launch outcome measurement tools for providers.,Alma;funding;competition;therapist platform;outcomes,https://techcrunch.com/2026/02/15/alma-series-d,0.90
2026-02-12,Health Affairs,State Parity Enforcement Actions Double in 2025,Analysis shows 28 states took enforcement actions against insurers for mental health parity violations last year up from 14 in 2024.,parity;enforcement;state regulation;insurance;compliance,https://www.healthaffairs.org/2026/02/12/parity-enforcement,0.88
2026-02-10,NPR,Psychedelic-Assisted Therapy Moves Closer to FDA Approval,FDA advisory committee votes 11-4 in favor of recommending MDMA-assisted therapy for PTSD setting stage for potential approval by mid-2026.,psychedelics;MDMA;FDA;PTSD;emerging treatments,https://www.npr.org/2026/02/10/psychedelic-therapy-fda,0.72
2026-02-08,Axios,AI Therapy Chatbots Face Scrutiny After Teen Hospitalization,Renewed debate over AI-powered mental health chatbots after reports of a teenager being hospitalized following interactions with an unmonitored AI therapy app.,AI safety;chatbots;youth;clinical governance;digital health risks,https://www.axios.com/2026/02/08/ai-therapy-chatbot-scrutiny,0.91
2026-02-05,American Psychological Association,APA Releases Updated Guidelines for Telemental Health Practice,New practice guidelines address informed consent technology requirements clinical appropriateness screening and emergency protocols for remote therapy.,APA;guidelines;telehealth;clinical standards;best practices,https://www.apa.org/2026/02/05/telemental-health-guidelines,0.94
2026-02-03,Reuters,UnitedHealth Group Expands Virtual Behavioral Health Network to 50 States,UHG subsidiary Optum Behavioral Health announces national expansion of virtual therapy and psychiatry network with same-week appointment guarantees.,UnitedHealth;Optum;virtual care;network;competition,https://www.reuters.com/2026/02/03/unitedhealth-behavioral-expansion,0.87
2026-01-30,Psychiatric Times,Treatment-Resistant Depression: New Algorithm Incorporates Genetic Testing,Expert panel proposes updated treatment algorithm for TRD that integrates pharmacogenomic testing at the second treatment step.,treatment-resistant depression;pharmacogenomics;algorithm;prescribing;precision medicine,https://www.psychiatrictimes.com/2026/01/30/trd-algorithm-genetic-testing,0.75
2026-01-28,The Wall Street Journal,Employers Spend Record $1500 Per Employee on Mental Health Benefits in 2025,Willis Towers Watson survey finds corporate spending on mental health benefits including EAPs and digital health tools reached all-time high.,employer;benefits;EAP;digital health;spending;B2B,https://www.wsj.com/2026/01/28/employer-mental-health-spending,0.83
2026-01-25,Fierce Healthcare,CMS Proposes New Quality Measures for Behavioral Health in Value-Based Contracts,Proposed rule would require behavioral health quality reporting including PHQ-9 response rates and follow-up after hospitalization measures in Medicare Advantage plans.,CMS;quality measures;value-based care;outcomes;Medicare Advantage,https://www.fiercehealthcare.com/2026/01/25/cms-behavioral-health-quality,0.96
2026-01-22,NIMH,NIMH Funds $50M Initiative on Digital Phenotyping for Mental Health,National Institute of Mental Health announces major funding for research on using smartphone sensor data to predict mental health crises before they occur.,NIMH;digital phenotyping;research;prediction;crisis prevention,https://www.nimh.nih.gov/2026/01/22/digital-phenotyping-initiative,0.80
2026-01-20,Behavioral Health Business,Spring Health Acquires Outcome-Tracking Startup for $85M,Employer mental health platform Spring Health acquires outcomes analytics company to strengthen its measurement-based care capabilities.,Spring Health;acquisition;outcomes;measurement;competition,https://www.bhbusiness.com/2026/01/20/spring-health-acquisition,0.86
2026-01-18,The Lancet Psychiatry,Meta-Analysis Confirms Sustained Benefits of CBT Over Medication for Anxiety,Analysis of 58 RCTs shows CBT produces more durable anxiety reduction than pharmacotherapy at 12-month follow-up with lower relapse rates.,CBT;anxiety;meta-analysis;evidence;treatment efficacy,https://www.thelancet.com/journals/lanpsy/2026/01/18/cbt-anxiety-meta,0.85
2026-01-15,KFF Health News,Medicaid Mental Health Access Remains Severely Limited in Rural States,Investigation finds Medicaid patients in rural areas wait an average of 47 days for an initial mental health appointment compared to 12 days in urban areas.,Medicaid;access;rural health;waitlists;disparities,https://kffhealthnews.org/2026/01/15/medicaid-rural-mental-health,0.88
2026-01-12,Forbes,The Therapist Shortage Is Getting Worse — Can Technology Help?,Analysis of BLS data shows therapist demand outpacing supply by 3:1 in most states with technology platforms positioned as key access solutions.,workforce;shortage;technology;access;therapist supply,https://www.forbes.com/2026/01/12/therapist-shortage-technology,0.91
2026-01-10,MedPage Today,FDA Clears First AI-Powered Depression Screening Tool for Primary Care,De novo clearance for an AI clinical decision support tool that integrates with EHR systems to flag patients at risk for depression during primary care visits.,FDA;AI;screening;depression;primary care;regulatory,https://www.medpagetoday.com/2026/01/10/fda-ai-depression-screening,0.84
2026-01-08,Politico,Bipartisan Bill Would Require Insurance Coverage of Digital Mental Health Tools,Proposed federal legislation would mandate coverage of FDA-cleared digital therapeutics and evidence-based mental health apps under commercial insurance plans.,legislation;digital therapeutics;insurance coverage;policy;regulation,https://www.politico.com/2026/01/08/digital-mental-health-coverage-bill,0.89
2026-01-05,Nature Medicine,Collaborative Care Model Reduces Depression Severity in Safety-Net Populations,Large pragmatic trial in FQHCs shows integrated collaborative care produces 40% greater improvement in PHQ-9 scores versus usual care in underserved populations.,collaborative care;safety-net;FQHC;disparities;depression;outcomes,https://www.nature.com/articles/nm-2026-01-05-collaborative-care,0.87
2026-01-03,Becker's Hospital Review,Telehealth Mental Health Visits Plateau After Post-Pandemic Surge,National data shows telehealth mental health visit volume stabilizing at approximately 40% of all behavioral health encounters down from 60% peak in 2021.,telehealth;utilization;trends;behavioral health;hybrid care,https://www.beckershospitalreview.com/2026/01/03/telehealth-plateau,0.82
2025-12-28,Healthcare Dive,Digital Health VC Funding Falls 25% in 2025 But Mental Health Remains Bright Spot,Mental health and behavioral health startups captured 22% of all digital health venture funding in 2025 the highest share in any therapeutic area.,funding;venture capital;digital health;investment;market,https://www.healthcaredive.com/2025/12/28/digital-health-vc-2025,0.79
2025-12-20,Journal of Clinical Psychology,Therapeutic Alliance in Telehealth Equals In-Person Across Diverse Populations,Multi-site study (N=2800) finds no significant difference in therapeutic alliance ratings between video telehealth and in-person therapy across racial and ethnic groups.,therapeutic alliance;telehealth;equity;diversity;outcomes research,https://onlinelibrary.wiley.com/2025/12/20/alliance-telehealth-diversity,0.90
