Date,Source,Headline,Summary,Jurisdiction,Impact_Area,Action_Type,Company_Mentioned,Relevance_to_Headway
2026-02-27,Reuters,DOJ Announces $15M Settlement with Cerebral Over Prescribing Practices,"Department of Justice reached settlement with digital mental health company Cerebral over allegations of improper controlled substance prescribing and inadequate clinical oversight of telehealth providers.",Federal,Prescribing Compliance;Clinical Oversight,Settlement,Cerebral,High — Headway must ensure prescribing oversight protocols exceed standards cited in this enforcement action
2026-02-24,Behavioral Health Business,California AG Sues BetterHelp Over Data Sharing with Social Media Platforms,"California Attorney General filed lawsuit alleging BetterHelp shared patient therapy data with Meta and Snapchat for advertising purposes without adequate patient consent.",California,Data Privacy;Consumer Protection,Lawsuit,BetterHelp,High — Reinforces need for strict data governance and marketing pixel audit on Headway platform
2026-02-21,Modern Healthcare,CMS Proposes Mandatory Behavioral Health Quality Reporting for Medicare Advantage Plans,"Proposed rule would require MA plans to report depression screening rates PHQ-9 response rates and 30-day follow-up rates after psychiatric hospitalization starting 2027.",Federal,Quality Reporting;Payer Requirements,Proposed Rule,None,High — Headway's outcome data capabilities position well for payer quality reporting requirements
2026-02-18,Politico,Bipartisan Senate Bill Would Mandate Insurance Coverage of Digital Therapeutics,"CONNECT for Health Act expansion would require commercial insurers to cover FDA-cleared digital therapeutics including mental health applications as a covered benefit.",Federal,Insurance Coverage;Digital Health,Proposed Legislation,None,Medium — Could expand reimbursement landscape for digital mental health tools Headway may integrate
2026-02-15,Health Affairs Blog,New York Passes Telehealth Parity Permanence Act,"New York legislature passes bill making temporary pandemic telehealth payment parity permanent. Requires commercial insurers to reimburse telehealth visits at the same rate as in-person for behavioral health.",New York,Telehealth Reimbursement;Parity,State Legislation,None,High — Directly benefits Headway providers and patients in New York; model for other state advocacy
2026-02-12,STAT News,FTC Issues Warning Letters to 5 Mental Health Apps Over Deceptive Outcome Claims,"FTC sent warning letters to five unnamed digital mental health companies alleging unsubstantiated claims about treatment efficacy and outcome improvement percentages in marketing materials.",Federal,Marketing Compliance;Consumer Protection,Warning Letters,Unnamed companies,Medium — Headway should audit all marketing claims about patient outcomes for FTC compliance
2026-02-08,Law360,Class Action Filed Against Talkspace Alleging Inadequate Therapist Credentialing,"Former patients filed class action lawsuit alleging Talkspace failed to verify provider credentials and allowed unlicensed individuals to provide therapy through the platform.",Federal (NY District),Credentialing;Clinical Quality,Class Action Lawsuit,Talkspace,High — Reinforces importance of Headway's credentialing verification processes and documentation
2026-02-05,Healthcare Dive,Texas Medical Board Proposes New Telehealth Prescribing Restrictions,"Texas Medical Board published proposed rules requiring in-person evaluation before prescribing Schedule II controlled substances via telehealth. Would override pandemic-era flexibilities.",Texas,Prescribing;Telehealth Regulation,Proposed State Rule,None,High — Would affect Headway psychiatrists prescribing stimulants for ADHD in Texas
2026-02-01,Fierce Healthcare,HHS OCR Settles with Telehealth Provider Over HIPAA Right of Access Violation,"HHS Office for Civil Rights reached $1.2M settlement with unnamed telehealth provider that failed to provide patients with timely access to their health records.",Federal,Patient Rights;HIPAA Compliance,Settlement,Unnamed telehealth provider,Medium — Headway must ensure patient record access requests are fulfilled within HIPAA timelines
2026-01-28,American Journal of Law & Medicine,State Telehealth Compact Expansion: PSYPACT Adds 5 New States in 2026,"Interstate psychology practice compact PSYPACT now covers 45 states after adding Montana Vermont New Hampshire Delaware and Hawaii effective January 2026.",Multi-State,Licensure;Interstate Practice,Compact Expansion,None,High — Expands Headway psychologist network flexibility; reduces licensure barriers for providers
2026-01-25,MedPage Today,FDA Releases Final Guidance on AI/ML-Based Clinical Decision Support in Behavioral Health,"FDA published final guidance clarifying regulatory pathway for AI-powered clinical decision support tools used in mental health settings. Tools meeting certain criteria exempt from device regulation.",Federal,AI Regulation;Clinical Decision Support,Regulatory Guidance,None,High — Directly relevant to Headway's AI-assisted features; provides clearer regulatory framework
2026-01-22,Becker's Hospital Review,Illinois Becomes First State to Require AI Transparency in Healthcare Settings,"Illinois Governor signs Healthcare AI Transparency Act requiring providers to disclose when AI is used in clinical decision-making or documentation. Effective July 2026.",Illinois,AI Transparency;Informed Consent,State Legislation,None,Medium — Headway will need to update consent flows and disclosures for Illinois patients using AI features
2026-01-18,Bloomberg Law,Ninth Circuit Rules Telehealth Companies Must Comply with State Consumer Protection Laws,"Appeals court ruling establishes that telehealth platforms operating nationally must comply with consumer protection laws in each state where they have patients not just their state of incorporation.",Federal (Ninth Circuit),Consumer Protection;Multi-State Compliance,Court Ruling,None,High — Reinforces need for state-by-state compliance review of all patient-facing communications
2026-01-15,KFF Health News,Medicaid Managed Care Plans Face New Mental Health Access Requirements,"CMS finalizes rule requiring Medicaid MCOs to meet specific appointment wait time standards for behavioral health: 10 business days for routine and 48 hours for urgent needs.",Federal,Medicaid;Network Adequacy;Access,Final Rule,None,High — Relevant to Headway's Centene Medicaid pilot; must demonstrate appointment availability compliance
2026-01-10,HIPAA Journal,Record $4.75M HIPAA Fine Issued to Mental Health Practice for Unencrypted PHI,"OCR issued largest-ever HIPAA fine against a mental health practice group after breach affecting 120000 patients traced to unencrypted database and lack of risk assessment.",Federal,Data Security;HIPAA Enforcement,Fine/Penalty,Unnamed practice group,Medium — Reinforces criticality of encryption and regular security risk assessments at Headway
2026-01-07,Psychiatric News,DEA Extends COVID Telehealth Prescribing Flexibilities Through December 2026,"DEA announced extension of temporary rules allowing Schedule II-V controlled substance prescribing via telehealth without initial in-person visit. Permanent rule still under development.",Federal,Prescribing;Telehealth,Regulatory Extension,None,High — Allows Headway psychiatrists to continue current prescribing workflows; monitor permanent rule
2026-01-04,AMA Morning Rounds,Oregon Mandates Outcome Reporting for All Behavioral Health Providers,"Oregon Health Authority issues mandate requiring all licensed behavioral health providers to submit standardized outcome measures (PHQ-9 GAD-7) quarterly starting July 2026.",Oregon,Outcome Reporting;Quality Measurement,State Mandate,None,High — Headway's MBC infrastructure is well-positioned; opportunity to support provider compliance
2025-12-30,Healthcare Compliance Alert,Multi-State AG Investigation into Digital Health Marketing Practices Announced,"Attorneys General from 12 states announced coordinated investigation into marketing practices of digital health companies focusing on unsubstantiated efficacy claims and misleading patient testimonials.",Multi-State,Marketing Compliance;AG Enforcement,Investigation,Unnamed companies,Medium — Headway should proactively review all state-specific marketing compliance requirements
2025-12-22,Journal of Medical Internet Research,Study Finds Significant Variability in Telehealth Informed Consent Practices,"Research analyzing 42 telehealth platforms found only 31% obtained informed consent that met all recommended elements for telehealth-specific risks and limitations.",Academic,Informed Consent;Telehealth Standards,Research Publication,None,Medium — Headway should benchmark informed consent against study recommendations and APA guidelines
2025-12-15,The National Law Review,EEOC Issues Guidance on Employer Use of AI Mental Health Screening Tools,"EEOC published guidance warning that employer use of AI-powered mental health screening in wellness programs may violate ADA and GINA if not properly implemented.",Federal,AI;Employment;ADA Compliance,Regulatory Guidance,None,Low — Indirect relevance; relevant if Headway pursues employer wellness channel
