Date,Payer_Name,Reporter,Call_Type,Key_Topics,Sentiment,Action_Items,Follow_Up_Date,Cross_Functional_Impact,Departments_Affected
2025-10-08,Aetna,Sarah Friedman,Monthly Check-In,Claims volume trending up 8% MoM; discussed provider onboarding pace; Aetna pleased with clean claim improvement,Positive,Send updated provider growth forecast to Aetna by 10/15,2025-10-15,Provider recruitment pacing needs to match Aetna demand,Provider Ops; Recruiting
2025-10-12,UnitedHealthcare,David Kowalski,Ad Hoc - Escalation,UHC flagged 3 member complaints about appointment wait times in TX; credentialing backlog discussed,Negative,Escalate credentialing queue internally; provide TX wait time data by 10/18,2025-10-18,Credentialing delays impacting member experience and payer satisfaction,Credentialing; Provider Ops; Member Experience
2025-10-15,Cigna,Marcus Chen,Quarterly Review,Strong EAP utilization at 72%; discussed potential 50-state EAP expansion; quality bonus on track at 94.1% clean claim rate,Positive,Draft EAP expansion scoping doc; share quality metrics with Cigna by 10/25,2025-10-25,EAP expansion would require engineering work on intake flow and provider matching,Product; Engineering; Provider Ops
2025-10-22,Humana,Brian Nakamura,Monthly Check-In,MA Stars discussion; depression screening metrics strong; follow-up after hospitalization below benchmark; psychiatry wait times too long,Neutral,Prepare Stars improvement plan; escalate psychiatry recruiting in FL/TX,2025-11-05,Psychiatry supply gap affects clinical outcomes and Stars ratings,Recruiting; Clinical; Quality
2025-10-28,Magellan Health,Amanda Reyes,Monthly Ops Review,Clean claim rate at 86.5% below 90% threshold; modifier code errors flagged; recredentialing lapse rate discussed,Negative,Implement claim scrubbing rules for Magellan; audit lapsed credentials,2025-11-10,Claims team needs Magellan-specific coding guidance; credentialing process needs automation,Claims; Credentialing; Engineering
2025-11-04,Blue Cross Blue Shield,Jennifer Walsh,Pre-Renewal Strategy,BCBS signaled competitive rate pressure; member satisfaction at 81%; time-to-first-appointment slipping to 8 days,Neutral,Prepare value prop deck; model rate scenarios for internal alignment,2025-11-18,Rate negotiation outcome affects 2026 revenue plan; scheduling ops need to address wait times,Finance; Strategy; Scheduling Ops
2025-11-08,Optum Behavioral,James Okafor,Monthly Check-In,Network adequacy review upcoming; measurement-based care data requested; renewal timeline confirmed for Q1 2026,Neutral,Send MBC outcomes data to Optum; prepare renewal materials,2025-11-20,Need clinical team input on MBC data package; product team for data export,Clinical; Product; Data
2025-11-12,Aetna,Sarah Friedman,Strategic Discussion,Aetna exploring Medicaid expansion in NJ and CT; wants Headway provider supply analysis; positive on partnership trajectory,Positive,Provide NJ/CT provider supply analysis by 12/1; loop in recruiting on state-specific pipeline,2025-12-01,Medicaid expansion requires state-specific licensing review and provider recruitment,Recruiting; Legal; Provider Ops
2025-11-15,Aetna,Sarah Friedman,QBR,Full quarterly review - see detailed notes; directory accuracy flagged; claims best practices alignment discussed,Positive,Directory accuracy plan by 12/15; claims best practices session in Jan,2025-12-15,Directory accuracy requires product/eng work; claims alignment cross-functional,Product; Engineering; Claims
2025-11-19,Kaiser Permanente,Lisa Park,Monthly Check-In,Value-based contract performing well; outcomes data positive; Kaiser wants deeper care coordination integration,Positive,Prepare care coordination integration proposal; share PHQ-9 improvement data,2025-12-03,Integration work would require significant engineering resources and clinical workflow changes,Engineering; Clinical; Product
2025-11-22,Cigna,Marcus Chen,Strategic Partnership,EAP 50-state expansion discussed; digital front door API integration proposed; outcomes data impressed Cigna leadership,Very Positive,Draft EAP expansion proposal by 12/15; outcomes report for C-suite by 1/10; await API spec doc,2025-12-15,API integration is major engineering initiative; EAP expansion affects all operational teams,Engineering; Product; Provider Ops; Clinical
2025-11-26,UnitedHealthcare,David Kowalski,Credentialing Follow-Up,47 providers in credentialing backlog over 60 days; UHC committed to clearing by 12/31; advance notice protocol requested,Neutral,Monitor backlog clearance; draft advance notice proposal,2025-12-15,Credentialing delays cascade to provider satisfaction and revenue realization,Credentialing; Provider Ops; Finance
2025-12-03,UnitedHealthcare,David Kowalski,Escalation Call,MA claims denial spike in TX from 9% to 14.2%; coding change not communicated; ~$380K in claims to be reprocessed,Negative,Audit all Nov MA TX claims; monitor reprocessing; push for notification protocol,2025-12-15,Claims team needs to prepare for reprocessing volume; finance needs to adjust forecasts,Claims; Finance; Data
2025-12-09,Magellan Health,Amanda Reyes,Monthly Ops Review,Utilization at 4.8 sessions vs 3.5 expected; credentialing lapse compliance risk; clean claim rate still at 87%,Slightly Negative,Provide outcomes-correlated utilization data; complete credential audit; implement claim scrubbing,2025-12-20,Clinical needs to validate utilization patterns; compliance risk needs legal review,Clinical; Claims; Legal; Credentialing
2025-12-10,Blue Cross Blue Shield,Jennifer Walsh,Renewal Kickoff,BCBS proposed 2% rate reduction; Headway countered with 1.5% increase tied to quality; 3/1 deadline for renewal,Neutral,Prepare value prop deck by 1/5; model 3 rate scenarios; next session 1/8,2026-01-05,Rate outcome critical to 2026 revenue plan; need finance and strategy alignment,Finance; Strategy; Executive
2025-12-12,Anthem,Rachel Torres,Quarterly Review,Shared savings model performing above expectations; volume growth 7% QoQ; renewal on solid footing after recent extension,Positive,Prepare Q1 performance preview; discuss shared savings optimization,2026-01-10,Shared savings model data could inform other payer negotiations,Finance; Strategy; Data
2025-12-16,Humana,Brian Nakamura,Monthly Check-In,Stars rating focus; psychiatry wait times 14 days; bilingual provider gap in FL/TX; care coordination pilot interest,Positive,Stars improvement plan by 1/10; psychiatry pipeline data by 12/23; bilingual requirements by 12/20,2025-12-23,Psychiatry recruiting and bilingual provider initiatives affect multiple payer relationships,Recruiting; Clinical; DEI; Provider Ops
2025-12-18,Kaiser Permanente,Lisa Park,Year-End Review,First year of value-based contract positive; outcomes beating benchmarks; Kaiser wants to expand scope in 2026,Positive,Prepare 2026 expansion proposal; compile full-year outcomes report,2026-01-12,Value-based model learnings applicable to other payer contracts,Clinical; Strategy; Finance; Data
2025-12-20,Optum Behavioral,James Okafor,Pre-Renewal Discussion,Optum shared renewal priorities: network adequacy and MBC adoption; specialty rate tier working well; timeline confirmed,Neutral,Prepare renewal proposal with MBC data and network adequacy metrics,2026-01-08,Renewal terms will set precedent for specialty rate structures,Finance; Clinical; Strategy
